product_name,url,notes
UNOVE Deep Damage Repair Shampoo 290ml,https://www.sephora.com/product/deep-damage-repair-hydrating-shampoo-P521503?skuId=2965515&icid2=products%20grid:p521503:product,
UNOVE Deep Damage Repair Shampoo mini,https://www.sephora.com/product/deep-damage-repair-hydrating-shampoo-P521503?skuId=2965507&icid2=products%20grid:p521503:product,
UNOVE Deep Damage Repair Shampoo 500ml,https://www.sephora.com/product/deep-damage-repair-hydrating-shampoo-P521503?skuId=2965531&icid2=products%20grid:p521503:product,
UNOVE Damage Repair Hydrating Conditioner,"https://www.sephora.com/product/damage-repair-hydrating-conditioner-P521517
",
UNOVE Deep Damage Repair Hair Mask 207ml,https://www.sephora.com/product/deep-damage-repair-hydrating-hair-mask-P521520?skuId=2965473&icid2=products%20grid:p521520:product,
UNOVE Deep Damage Repair Hair Mask mini,https://www.sephora.com/product/deep-damage-repair-hydrating-hair-mask-P521520?skuId=2965606&icid2=products%20grid:p521520:product,
UNOVE Deep Damage Repair Hair Mask 320ml,https://www.sephora.com/product/deep-damage-repair-hydrating-hair-mask-P521520?skuId=2965549&icid2=products%20grid:p521520:product,
UNOVE Silk Hair Oil mini,https://www.sephora.com/product/silk-shine-hair-oil-for-damaged-hair-P521502?skuId=2965440,
UNOVE Silk Hair Oil 70ml,https://www.sephora.com/product/silk-shine-hair-oil-for-damaged-hair-P521502?skuId=2965481,
UNOVE Detangling Heat Protectant Spray,"https://www.sephora.com/product/detangling-heat-protection-spray-for-damaged-hair-P521505
",
UNOVE Damage Repair & Shine Leave-in Conditioner mini,https://www.sephora.com/product/damage-repair-shine-leave-in-conditioner-P521519?skuId=2965598,
UNOVE Damage Repair & Shine Leave-in Conditioner 150ml,https://www.sephora.com/product/damage-repair-shine-leave-in-conditioner-P521519?skuId=2965499,
UNOVE Deep Damage Repair Essentials Kit,"https://www.sephora.com/product/deep-damage-repair-mini-trio-hair-set-P521508
",
UNOVE Frizz-Calming Sleek Shampoo,"https://www.sephora.com/product/frizz-calming-sleek-hydrating-shampoo-P521521
",
UNOVE Frizz-Calming Sleek Conditioner,"https://www.sephora.com/product/frizz-calming-sleek-hydrating-condtioner-P521518
",
UNOVE Frizz-Calming Sleek Leave-in Conditioner,"https://www.sephora.com/product/frizz-calming-leave-in-conditioner-with-heat-protectant-P521523
",
UNOVE Frizz-Calming Glass Hair Oil,"https://www.sephora.com/product/frizz-calming-glass-hair-oil-with-heat-protectant-P521510
",
UNOVE Frizz-Calming Hair Finishing Stick,"https://www.sephora.com/product/frizz-calming-gel-hair-taming-wand-P521514
",
